Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя,method,param_base_name,cleaned_value,smiles
Базовое_масло_2,01767.22,Деэм.время | ASTM D1401,мин,30,ASTM D1401,Деэм.время |,30.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,Деэм.масло | ASTM D1401,мл,40,ASTM D1401,Деэм.масло |,40.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,Деэм.эмульсия | ASTM D1401,мл,5,ASTM D1401,Деэм.эмульсия |,5.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1150,ASTM D5293,Динамическая вязкость CCS -15°C,1150.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2199,ASTM D5293,Динамическая вязкость CCS -20°C,2199.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4564,ASTM D5293,Динамическая вязкость CCS -25°C,4564.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10045,ASTM D5293,Динамическая вязкость CCS -30°C,10045.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Индекс вязкости, ГОСТ 25371",–,96,ГОСТ 25371,Индекс вязкости,96.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Испаряемость по NOACK, ASTM D5800",%,15.3,ASTM D5800,Испаряемость по NOACK,15.3,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.06,ASTM D445,"Кинематическая вязкость, при 40°C",32.06,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.31,ASTM D445,"Кинематическая вязкость, при 100°C",5.31,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Массовая доля кальция, ASTM D6481",% масс,0.00056,ASTM D6481,Массовая доля кальция,0.00056,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Массовая доля серы, ASTM D6481",% масс,0.02433,ASTM D6481,Массовая доля серы,0.02433,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Массовая доля фосфора, ASTM D6481",% масс,0.00003,ASTM D6481,Массовая доля фосфора,3e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Массовая доля цинка, ASTM D6481",% масс,0.00005,ASTM D6481,Массовая доля цинка,5e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,01767.22,"Температура застывания, ГОСТ 20287, метод Б",°C,-17,ГОСТ 20287,Температура застывания,-17.0,CCCCCCCCCCCCCCCCCCCC
Противоизносная_присадка_14,COMP-2022-0042-M,,,,No Method,nan,,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Противоизносная_присадка_13,образец,,,,No Method,nan,,CC(C)COP(=S)([O-])OCC(C)C.[Zn+2]
Антипенная_присадка_1,из ЦП 15.11.2022,,,,No Method,nan,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
Базовое_масло_3,0444.23,Деэм.вода | ASTM D1401,мл,40,ASTM D1401,Деэм.вода |,40.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,Деэм.время | ASTM D1401,мин,5,ASTM D1401,Деэм.время |,5.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,Деэм.масло | ASTM D1401,мл,40,ASTM D1401,Деэм.масло |,40.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,Деэм.эмульсия | ASTM D1401,мл,0,ASTM D1401,Деэм.эмульсия |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,542,ASTM D5293,Динамическая вязкость CCS -20°C,542.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,930,ASTM D5293,Динамическая вязкость CCS -25°C,930.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1584,ASTM D5293,Динамическая вязкость CCS -30°C,1584.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,2869,ASTM D5293,Динамическая вязкость CCS -35°C,2869.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,"Индекс вязкости, ГОСТ 25371",–,127,ГОСТ 25371,Индекс вязкости,127.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,"Испаряемость по NOACK, ASTM D5800",%,14.2,ASTM D5800,Испаряемость по NOACK,14.2,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,20.6,ASTM D445,"Кинематическая вязкость, при 40°C",20.6,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.42,ASTM D445,"Кинематическая вязкость, при 100°C",4.42,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,0444.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-19,ГОСТ 20287,Температура застывания,-19.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,Деэм.вода | ASTM D1401,мл,41,ASTM D1401,Деэм.вода |,41.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,Деэм.время | ASTM D1401,мин,30,ASTM D1401,Деэм.время |,30.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,Деэм.масло | ASTM D1401,мл,39,ASTM D1401,Деэм.масло |,39.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,Деэм.эмульсия | ASTM D1401,мл,0,ASTM D1401,Деэм.эмульсия |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,500,ASTM D5293,Динамическая вязкость CCS -15°C,500.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,777,ASTM D5293,Динамическая вязкость CCS -20°C,777.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1269,ASTM D5293,Динамическая вязкость CCS -25°C,1269.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,2253,ASTM D5293,Динамическая вязкость CCS -30°C,2253.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,4187,ASTM D5293,Динамическая вязкость CCS -35°C,4187.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Индекс вязкости, ГОСТ 25371",–,113,ГОСТ 25371,Индекс вязкости,113.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Испаряемость по NOACK, ASTM D5800",%,14.5,ASTM D5800,Испаряемость по NOACK,14.5,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,22.02,ASTM D445,"Кинематическая вязкость, при 40°C",22.02,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.445,ASTM D445,"Кинематическая вязкость, при 100°C",4.445,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Массовая доля кальция, ASTM D6481",% масс,0.00092,ASTM D6481,Массовая доля кальция,0.00092,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Массовая доля серы, ASTM D6481",% масс,0.0078,ASTM D6481,Массовая доля серы,0.0078,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0031,ASTM D6481,Массовая доля фосфора,0.0031,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Массовая доля цинка, ASTM D6481",% масс,0.00001,ASTM D6481,Массовая доля цинка,1e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_1,01044.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-22,ГОСТ 20287,Температура застывания,-22.0,CCCCCCCCCCCCCCCCCCCC
Дисперсант_9,02718.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,410,ASTM D445,"Кинематическая вязкость, при 100°C",410.0,CCCC(CC)COP(=S)([O-])OCC(CC)CCCC.[Zn+2]
Дисперсант_9,02718.22,"Щелочное число, ASTM D2896",мг KOH/г,18.9,ASTM D2896,Щелочное число,18.9,CCCC(CC)COP(=S)([O-])OCC(CC)CCCC.[Zn+2]
Базовое_масло_7,01045.23,Деэм.вода | ASTM D1401,мл,40,ASTM D1401,Деэм.вода |,40.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,Деэм.время | ASTM D1401,мин,5,ASTM D1401,Деэм.время |,5.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,Деэм.масло | ASTM D1401,мл,40,ASTM D1401,Деэм.масло |,40.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,Деэм.эмульсия | ASTM D1401,мл,0,ASTM D1401,Деэм.эмульсия |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,5413,ASTM D5293,Динамическая вязкость CCS -15°C,5413.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,11573,ASTM D5293,Динамическая вязкость CCS -20°C,11573.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,"Индекс вязкости, ГОСТ 25371",–,93,ГОСТ 25371,Индекс вязкости,93.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,"Испаряемость по NOACK, ASTM D5800",%,5.4,ASTM D5800,Испаряемость по NOACK,5.4,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,77.6,ASTM D445,"Кинематическая вязкость, при 40°C",77.6,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.214,ASTM D445,"Кинематическая вязкость, при 100°C",9.214,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,"Массовая доля кальция, ASTM D6481",% масс,0.00041,ASTM D6481,Массовая доля кальция,0.00041,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,"Массовая доля серы, ASTM D6481",% масс,0.094,ASTM D6481,Массовая доля серы,0.094,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,"Массовая доля фосфора, ASTM D6481",% масс,0.00063,ASTM D6481,Массовая доля фосфора,0.00063,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,"Массовая доля цинка, ASTM D6481",% масс,0.00003,ASTM D6481,Массовая доля цинка,3e-05,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,Последовательность 1 | ASTM D892,см³,10,ASTM D892,Последовательность 1 |,10.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,01045.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-16,ГОСТ 20287,Температура застывания,-16.0,CCCCCCCCCCCCCCCCCCCC
Детергент_7,синтетический,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,31.81,ASTM D445,"Кинематическая вязкость, при 100°C",31.81,CCCCCCCCCCCC1=CC=C(S(=O)(=O)O[Ca])C=C1
Детергент_16,COMP-2023-0005-M,,,,No Method,nan,,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Депрессорная_присадка_2,п.14 (2023г),"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,3299,ASTM D445,"Кинематическая вязкость, при 40°C",3299.0,CC(=C)C(=O)OCCCCCCCCCCCC
Депрессорная_присадка_2,п.14 (2023г),"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,350,ASTM D445,"Кинематическая вязкость, при 100°C",350.0,CC(=C)C(=O)OCCCCCCCCCCCC
Базовое_масло_3,03003.23,Деэм.вода | ASTM D1401,мл,40,ASTM D1401,Деэм.вода |,40.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,Деэм.время | ASTM D1401,мин,5,ASTM D1401,Деэм.время |,5.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,Деэм.масло | ASTM D1401,мл,40,ASTM D1401,Деэм.масло |,40.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,Деэм.эмульсия | ASTM D1401,мл,0,ASTM D1401,Деэм.эмульсия |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,403,ASTM D5293,Динамическая вязкость CCS -15°C,403.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,625,ASTM D5293,Динамическая вязкость CCS -20°C,625.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,1001,ASTM D5293,Динамическая вязкость CCS -25°C,1001.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1694,ASTM D5293,Динамическая вязкость CCS -30°C,1694.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,3075,ASTM D5293,Динамическая вязкость CCS -35°C,3075.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Индекс вязкости, ГОСТ 25371",–,125,ГОСТ 25371,Индекс вязкости,125.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Испаряемость по NOACK, ASTM D5800",%,13.7,ASTM D5800,Испаряемость по NOACK,13.7,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,21,ASTM D445,"Кинематическая вязкость, при 40°C",21.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,4.47,ASTM D445,"Кинематическая вязкость, при 100°C",4.47,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Массовая доля кальция, ASTM D6481",% масс,0.0002,ASTM D6481,Массовая доля кальция,0.0002,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Массовая доля серы, ASTM D6481",% масс,0.0001,ASTM D6481,Массовая доля серы,0.0001,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0001,ASTM D6481,Массовая доля фосфора,0.0001,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Массовая доля цинка, ASTM D6481",% масс,0.0001,ASTM D6481,Массовая доля цинка,0.0001,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_3,03003.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-25,ГОСТ 20287,Температура застывания,-25.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,Деэм.вода | ASTM D1401,мл,39,ASTM D1401,Деэм.вода |,39.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,Деэм.время | ASTM D1401,мин,2,ASTM D1401,Деэм.время |,2.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,Деэм.масло | ASTM D1401,мл,41,ASTM D1401,Деэм.масло |,41.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,Деэм.эмульсия | ASTM D1401,мл,0,ASTM D1401,Деэм.эмульсия |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,1225,ASTM D5293,Динамическая вязкость CCS -15°C,1225.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,2273,ASTM D5293,Динамическая вязкость CCS -20°C,2273.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,4718,ASTM D5293,Динамическая вязкость CCS -25°C,4718.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,10407,ASTM D5293,Динамическая вязкость CCS -30°C,10407.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Индекс вязкости, ГОСТ 25371",–,97,ГОСТ 25371,Индекс вязкости,97.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Испаряемость по NOACK, ASTM D5800",%,12.5,ASTM D5800,Испаряемость по NOACK,12.5,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,32.97,ASTM D445,"Кинематическая вязкость, при 40°C",32.97,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,5.42,ASTM D445,"Кинематическая вязкость, при 100°C",5.42,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Массовая доля кальция, ASTM D6481",% масс,0.0002,ASTM D6481,Массовая доля кальция,0.0002,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Массовая доля серы, ASTM D6481",% масс,0.099,ASTM D6481,Массовая доля серы,0.099,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0001,ASTM D6481,Массовая доля фосфора,0.0001,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Массовая доля цинка, ASTM D6481",% масс,0.0001,ASTM D6481,Массовая доля цинка,0.0001,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_2,03275.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-18,ГОСТ 20287,Температура застывания,-18.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,Деэм.вода | ASTM D1401,мл,39,ASTM D1401,Деэм.вода |,39.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,Деэм.время | ASTM D1401,мин,5,ASTM D1401,Деэм.время |,5.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,Деэм.масло | ASTM D1401,мл,41,ASTM D1401,Деэм.масло |,41.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,Деэм.эмульсия | ASTM D1401,мл,0,ASTM D1401,Деэм.эмульсия |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,5521,ASTM D5293,Динамическая вязкость CCS -15°C,5521.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,11811,ASTM D5293,Динамическая вязкость CCS -20°C,11811.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,24000,ASTM D5293,Динамическая вязкость CCS -25°C,24000.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,"Индекс вязкости, ГОСТ 25371",–,92,ГОСТ 25371,Индекс вязкости,92.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,"Испаряемость по NOACK, ASTM D5800",%,5.8,ASTM D5800,Испаряемость по NOACK,5.8,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,76.89,ASTM D445,"Кинематическая вязкость, при 40°C",76.89,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.1,ASTM D445,"Кинематическая вязкость, при 100°C",9.1,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,"Массовая доля кальция, ASTM D6481",% масс,0.0002,ASTM D6481,Массовая доля кальция,0.0002,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,"Массовая доля серы, ASTM D6481",% масс,0.099,ASTM D6481,Массовая доля серы,0.099,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,"Массовая доля фосфора, ASTM D6481",% масс,0.0001,ASTM D6481,Массовая доля фосфора,0.0001,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,"Массовая доля цинка, ASTM D6481",% масс,0.0001,ASTM D6481,Массовая доля цинка,0.0001,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,03276.23,"Температура застывания, ГОСТ 20287, метод Б",°C,-16,ГОСТ 20287,Температура застывания,-16.0,CCCCCCCCCCCCCCCCCCCC
Детергент_15,COMP-2023-0015-M,,,,No Method,nan,,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Базовое_масло_7,0763.24,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,5585,ASTM D5293,Динамическая вязкость CCS -15°C,5585.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0763.24,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,12049,ASTM D5293,Динамическая вязкость CCS -20°C,12049.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0763.24,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,24000,ASTM D5293,Динамическая вязкость CCS -25°C,24000.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0763.24,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,48000,ASTM D5293,Динамическая вязкость CCS -30°C,48000.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0763.24,"Индекс вязкости, ГОСТ 25371",–,94,ГОСТ 25371,Индекс вязкости,94.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0763.24,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,76.92,ASTM D445,"Кинематическая вязкость, при 40°C",76.92,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0763.24,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,9.2,ASTM D445,"Кинематическая вязкость, при 100°C",9.2,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0763.24,"Массовая доля кальция, ASTM D6481",% масс,0.0005,ASTM D6481,Массовая доля кальция,0.0005,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0763.24,"Массовая доля фосфора, ASTM D6481",% масс,0.0001,ASTM D6481,Массовая доля фосфора,0.0001,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0763.24,"Массовая доля цинка, ASTM D6481",% масс,0.0001,ASTM D6481,Массовая доля цинка,0.0001,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0763.24,Последовательность 1 | ASTM D892,см³,0,ASTM D892,Последовательность 1 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0763.24,Последовательность 2 | ASTM D892,см³,0,ASTM D892,Последовательность 2 |,0.0,CCCCCCCCCCCCCCCCCCCC
Базовое_масло_7,0763.24,Последовательность 3 | ASTM D892,см³,0,ASTM D892,Последовательность 3 |,0.0,CCCCCCCCCCCCCCCCCCCC
